s,,,,,,,,,
Year,GDP-US $ billion nominal,Population-US million,Total Spending-fed $ billion nominal,,Remaining Spending-xfer $ billion nominal,,Total Spending-state $ billion nominal,,Total Spending-local $ billion nominal
1997,8332.4,271.18,1601.12,a,-107.58,a,629.05,a,827.84,a
1998,8793.5,274.552,1652.46,a,-112.72,a,651.1,a,874.66,a
1999,9353.5,277.966,1701.84,a,-119.54,a,693.43,a,928.67,a
2000,9951.5,282.172,1788.95,a,-127.79,a,757.03,a,985.89,a
2001,10286.2,285.082,1862.85,a,-140.51,i,834.39,a,1057.52,i
2002,10642.3,287.804,2010.89,a,-156.98,a,918.01,a,1129.14,a
2003,11142.2,290.326,2159.9,a,-168.63,i,976.85,a,1187.38,i
2004,11853.3,293.046,2292.84,a,-182.68,a,1016.41,a,1245.61,a
2005,12623,295.507,2471.96,a,-190.63,a,1066.62,a,1297.08,a
2006,13377.2,298.109,2655.05,a,-202.45,a,1122.27,a,1373.49,a
2007,14028.7,300.733,2728.69,a,-206.02,a,1174.62,a,1484.52,a
2008,14369.1,303.38,2982.54,a,-208.1,a,1259.65,a,1575.13,a
2009,13939,306.051,3517.68,a,-225.83,a,1340.64,a,1648.89,a
2010,14508.2,308.746,3457.08,a,-274.17,a,1457.94,a,1652.57,a
2011,14958.6,311.592,3603.06,a,-277.98,e,1505.21,a,1595.34,e
2012,15547.4,314.123,3537.13,a,-275.04,g,1506.88,g,1574.17,g
2013,16202.7,316.847,3684.95,b,-269.21,g,1508.86,g,1599.33,g
2014,17011.4,319.594,3777.81,b,-264.8,g,1516.57,g,1674.34,g
2015,17936.1,322.366,3908.16,b,-265.35,g,1544.08,g,1794.59,g
2016,18934.2,325.01,4089.84,b,-272.93,g,1599.97,g,1948.97,g
2017,19980,327.676,4247.45,b,-287.95,g,1686.34,g,2122.82,g
2018,21024.8,330.363,4449.24,b,-309.24,g,1798.71,g,2300.49,g
Legend:,,,,,,,,,,
 a - actual reported,,,,,,,,,,
 i - interpolated between actual reported values,,,,,,,,,,
 e - estimated by usgovernmentspending.com,,,,,,,,,,
 g - 'guesstimated' projection by usgovernmentspending.com,,,,,,,,,,
 b - budgeted estimate in US FY14 budget,,,,,,,,,,
